 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR NiO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:  56    -0.132411132522E+04    0.52807E-01   -0.71064E-02 14152   0.146E+00    0.445E+00
DAV:  57    -0.132413460145E+04   -0.23276E-01   -0.39515E-02 14064   0.120E+00    0.405E+00
DAV:  58    -0.132412101095E+04    0.13591E-01   -0.26563E-02 13904   0.101E+00    0.262E+00
DAV:  59    -0.132411477060E+04    0.62403E-02   -0.13286E-02 13600   0.703E-01    0.161E+00
DAV:  60    -0.132411915562E+04   -0.43850E-02   -0.96006E-03 13864   0.533E-01    0.220E+00
DAV:  61    -0.132412229290E+04   -0.31373E-02   -0.12605E-02 13648   0.618E-01    0.244E+00
DAV:  62    -0.132411198532E+04    0.10308E-01   -0.85767E-03 13520   0.514E-01    0.215E+00
DAV:  63    -0.132410328717E+04    0.86982E-02   -0.30257E-03 13504   0.289E-01    0.176E+00
DAV:  64    -0.132410363149E+04   -0.34432E-03   -0.64330E-03 13472   0.247E-01    0.847E-01
DAV:  65    -0.132411504460E+04   -0.11413E-01   -0.30905E-03 13152   0.240E-01    0.145E+00
DAV:  66    -0.132412673364E+04   -0.11689E-01   -0.70726E-03 15176   0.486E-01    0.264E+00
DAV:  67    -0.132411824621E+04    0.84874E-02   -0.62578E-03 14008   0.427E-01    0.156E+00
DAV:  68    -0.132411214477E+04    0.61014E-02   -0.18123E-03 13704   0.169E-01    0.949E-01
DAV:  69    -0.132411581763E+04   -0.36729E-02   -0.11069E-03 13442   0.157E-01    0.446E-01
DAV:  70    -0.132411983626E+04   -0.40186E-02   -0.66565E-04 13280   0.132E-01    0.429E-01
DAV:  71    -0.132412137122E+04   -0.15350E-02   -0.10786E-03 14328   0.186E-01    0.886E-01
DAV:  72    -0.132412089057E+04    0.48065E-03   -0.98341E-04 13736   0.179E-01    0.455E-01
DAV:  73    -0.132412219058E+04   -0.13000E-02   -0.37566E-04 14210   0.101E-01    0.296E-01
DAV:  74    -0.132412281837E+04   -0.62779E-03   -0.20851E-04 14240   0.767E-02    0.269E-01
DAV:  75    -0.132412386500E+04   -0.10466E-02   -0.19073E-04 13803   0.706E-02    0.249E-01
DAV:  76    -0.132412329626E+04    0.56874E-03   -0.44512E-04 13998   0.126E-01    0.753E-01
DAV:  77    -0.132412460662E+04   -0.13104E-02   -0.45838E-04 14207   0.120E-01    0.355E-01
DAV:  78    -0.132412533940E+04   -0.73278E-03   -0.14853E-04 15105   0.669E-02    0.232E-01
DAV:  79    -0.132412605975E+04   -0.72035E-03   -0.10565E-04 14516   0.534E-02    0.196E-01
DAV:  80    -0.132412728993E+04   -0.12302E-02   -0.26617E-04 14064   0.538E-02    0.430E-01
DAV:  81    -0.132412566851E+04    0.16214E-02   -0.31590E-04 13976   0.673E-02    0.294E-01
DAV:  82    -0.132412690674E+04   -0.12382E-02   -0.13653E-04 13928   0.634E-02    0.180E-01
DAV:  83    -0.132412802349E+04   -0.11167E-02   -0.10516E-04 14768   0.471E-02    0.195E-01
DAV:  84    -0.132412875162E+04   -0.72813E-03   -0.87052E-05 14537   0.432E-02    0.109E-01
DAV:  85    -0.132412898258E+04   -0.23096E-03   -0.41009E-05 12450   0.306E-02    0.105E-01
DAV:  86    -0.132412942012E+04   -0.43754E-03   -0.11145E-04 14922   0.612E-02    0.365E-01
DAV:  87    -0.132412933599E+04    0.84132E-04   -0.10045E-04 13897   0.625E-02    0.101E-01
DAV:  88    -0.132412972223E+04   -0.38625E-03   -0.39284E-05 12024   0.296E-02    0.116E-01
DAV:  89    -0.132413001232E+04   -0.29009E-03   -0.29024E-05 11465   0.255E-02    0.994E-02
DAV:  90    -0.132413031309E+04   -0.30077E-03   -0.33910E-05 11836   0.245E-02    0.107E-01
DAV:  91    -0.132413031345E+04   -0.35507E-06   -0.29983E-05 10904   0.309E-02
   1 F= -.14212937E+04 E0= -.14205197E+04  d E =-.154799E+01
