,Dirs,EAM_Energies,DFT_Energies,E_diff
0,Al-slab-Olayer1,-800.446607965801,-1430.7635747,-630.3169667341989
1,Al-slab-Olayer2,-807.228302224329,-1559.7900866,-752.561784375671
2,Al-slab-Olayer4,-809.147610755078,-1954.1857893999997,-1145.0381786449218
3,Al2O3-O,-306.782591258543,-2019.2065265,-1712.423935241457
4,Al2O3-O2,-306.938297481091,-2024.0644945000001,-1717.1261970189091
5,Al2O3-Olayer1,-306.421076482624,-2287.4892043,-1981.068127817376
6,Al2O3-Olayer2,-310.526189984823,-2307.5286183,-1997.0024283151768
7,Al2O3-Olayer4,-306.445031351149,-2660.4026486,-2353.957617248851
8,Al2O3-trigonal,-316.068756414721,-2059.1221265,-1743.0533700852789
9,AlO-1,-860.02272908257,-1054.0159509,-193.99322181743003
10,AlO-2,-859.776799325802,-1054.2012531,-194.424453774198
11,Ni-slab-Olayer1,-1070.54406164776,-1472.6895995,-402.14553785224007
12,Ni-slab-Olayer2,-1066.06089536946,-1626.6472377999999,-560.5863424305398
13,Ni-slab-Olayer4,-1052.71283640767,-1812.8332298999999,-760.1203934923299
14,NiAlO-1,-1119.71201303459,-1216.7957752999998,-97.08376226540986
15,NiAlO-2,-1119.92574766558,-1216.627116,-96.70136833441984
16,NiO-1,-1135.80014434459,-1275.6805927999999,-139.8804484554098
17,NiO-2,-1135.24450755107,-1275.6928541999998,-140.44834664892983
18,NiO-Slab,-391.474727306659,827.4314026000001,1218.906129906659
19,NiO-Slab-O,-410.465704102207,-1104.5589989,-694.0932947977931
20,NiO-Slab-O2,-394.667659337582,-1038.2675565,-643.599897162418
21,O,0.0,0.0467325,0.0467325
22,O2,0.0,-8.4076446,-8.4076446
23,O2-short,0.0,-4.8738608,-4.8738608
24,O4-1,0.0,-11.9113871,-11.9113871
25,O4-2,0.0,16.3956192,16.3956192
26,O4-3,0.0,-16.8644798,-16.8644798
27,PureAl,-860.159853183956,-1046.9883554,-186.82850221604406
28,PureAl2O3,-35.1186110803905,-228.7899971,-193.67138601960949
29,PureNi,-1136.47390277265,-1270.8401717000002,-134.36626892735012
30,PureNiAl,-1120.94673690999,-1211.6867949,-90.74005799000997
31,PureNiO,-406.496937759878,-259.2638409,147.233096859878
32,SlabAl,-818.448164188577,-992.6326854,-174.18452121142298
33,SlabAlO-1,-818.089519419671,-1001.0391913999999,-182.94967198032896
34,SlabAlO-2,-818.269482120694,-1001.8367955,-183.56731337930603
35,SlabAlO2-1,-817.897134488148,-1010.1467023,-192.249567811852
36,SlabAlO2-2,-816.942882618371,-1009.5500556,-192.607172981629
37,SlabAlO2-s1,-818.852196159913,-1005.5906247,-186.73842854008706
38,SlabAlO2-s10,-818.852196159913,-1002.3707082999999,-183.51851214008695
39,SlabAlO2-s11,-818.852196159913,-1002.3294245000001,-183.4772283400871
40,SlabAlO2-s12,-818.852196159913,-1001.8631977,-183.01100154008702
41,SlabAlO2-s13,-818.852196159913,-1001.5633547,-182.711158540087
42,SlabAlO2-s14,-818.852196159913,-1001.1680129,-182.31581674008703
43,SlabAlO2-s15,-818.852196159913,-1001.0326137,-182.18041754008698
44,SlabAlO2-s16,-818.852196159913,-1000.9856132,-182.133417040087
45,SlabAlO2-s17,-818.852196159913,-995.848348,-176.996151840087
46,SlabAlO2-s18,-818.852196159913,-998.9081292000001,-180.0559330400871
47,SlabAlO2-s19,-818.852196159913,-999.5795328,-180.72733664008706
48,SlabAlO2-s2,-818.852196159913,-1005.1467503,-186.29455414008703
49,SlabAlO2-s20,-818.852196159913,-999.8796897,-181.027493540087
50,SlabAlO2-s21,-818.852196159913,-999.9537158,-181.10151964008708
51,SlabAlO2-s22,-818.852196159913,-999.7585347,-180.90633854008706
52,SlabAlO2-s23,-818.852196159913,-999.6602267,-180.80803054008697
53,SlabAlO2-s24,-818.852196159913,-999.6264921000001,-180.7742959400871
54,SlabAlO2-s3,-818.852196159913,-1003.2526402,-184.400444040087
55,SlabAlO2-s4,-818.852196159913,-1001.6037816999999,-182.75158554008692
56,SlabAlO2-s5,-818.852196159913,-1000.4252071,-181.573010940087
57,SlabAlO2-s6,-818.852196159913,-999.4160096999999,-180.56381354008693
58,SlabAlO2-s7,-818.852196159913,-999.1337227,-180.28152654008704
59,SlabAlO2-s8,-818.852196159913,-999.0328136999999,-180.18061754008693
60,SlabAlO2-s9,-818.852196159913,-999.7801172999999,-180.92792114008694
61,SlabNi,-1075.17250330344,-1414.4677002,-339.2951968965601
62,SlabNiO-1,-1075.12499426178,-1422.08462,-346.95962573822
63,SlabNiO-2,-1075.0698824672,-1422.0787920999999,-347.00890963279994
64,SlabNiO2-1,-1072.81431128387,-1424.3520179000002,-351.5377066161302
65,SlabNiO2-2,-1075.48559520603,-1426.1059225,-350.6203272939699
66,SlabNiO2-p1,-1076.80268444519,-1422.9751282,-346.17244375481005
67,SlabNiO2-s01,-1076.80268444519,-1422.9965417,-346.19385725481015
68,SlabNiO2-s02,-1076.80268444519,-1424.1331473999999,-347.33046295480995
69,SlabNiO2-s03,-1076.80268444519,-1423.282519,-346.47983455481017
70,SlabNiO2-s04,-1076.80268444519,-1422.3392356,-345.53655115481
71,SlabNiO2-s05,-1076.80268444519,-1421.828833,-345.0261485548101
72,SlabNiO2-s06,-1076.80268444519,-1421.4478771,-344.64519265481
73,SlabNiO2-s07,-1076.80268444519,-1421.3367146,-344.5340301548101
74,SlabNiO2-s08,-1076.80268444519,-1421.2936734,-344.49098895481006
75,SlabNiO2-s11,-1076.80268444519,-1421.2616686000001,-344.4589841548102
76,SlabNiO2-s12,-1076.80268444519,-1423.5862946,-346.78361015481005
77,SlabNiO2-s13,-1076.80268444519,-1423.2672039000001,-346.4645194548102
78,SlabNiO2-s14,-1076.80268444519,-1422.7610226,-345.95833815481
79,SlabNiO2-s15,-1076.80268444519,-1422.4688385,-345.66615405481
80,SlabNiO2-s16,-1076.80268444519,-1422.2133277,-345.4106432548101
81,SlabNiO2-s17,-1076.80268444519,-1422.1308706,-345.32818615481006
82,SlabNiO2-s18,-1076.80268444519,-1422.1000331,-345.2973486548101
83,SlabNiO2-s21,-1076.80268444519,-1418.0062388000001,-341.2035543548102
84,SlabNiO2-s22,-1076.80268444519,-1421.0388510999999,-344.23616665480995
85,SlabNiO2-s23,-1076.80268444519,-1421.3654927999999,-344.56280835480993
86,SlabNiO2-s24,-1076.80268444519,-1421.3187671,-344.51608265481013
87,SlabNiO2-s25,-1076.80268444519,-1421.2172493,-344.4145648548101
88,SlabNiO2-s26,-1076.80268444519,-1421.0438772,-344.2411927548101
89,SlabNiO2-s27,-1076.80268444519,-1420.9728440000001,-344.1701595548102
90,SlabNiO2-s28,-1076.80268444519,-1420.9458860999998,-344.1432016548099
