Species,EAM_Energies,DFT_Energies,E_diff
Al-slab-Olayer1,-800.446607965801,-1430.7635747,-630.3169667341989
Al-slab-Olayer2,-807.228302224329,-1559.7900866,-752.561784375671
Al-slab-Olayer4,-809.147610755078,-1954.1857893999997,-1145.0381786449218
Al2O3-O,-306.782591258543,-2019.2065265,-1712.423935241457
Al2O3-O2,-306.938297481091,-2024.0644945000001,-1717.1261970189091
Al2O3-Olayer1,-306.421076482624,-2287.4892043,-1981.068127817376
Al2O3-Olayer2,-310.526189984823,-2307.5286183,-1997.0024283151768
Al2O3-Olayer4,-306.445031351149,-2660.4026486,-2353.957617248851
Al2O3-trigonal,-316.068756414721,-2059.1221265,-1743.0533700852789
AlO-1,-860.02272908257,-1054.0159509,-193.99322181743003
AlO-2,-859.776799325802,-1054.2012531,-194.424453774198
Ni-slab-Olayer1,-1070.54406164776,-1472.6895995,-402.14553785224007
Ni-slab-Olayer2,-1066.06089536946,-1626.6472377999999,-560.5863424305398
Ni-slab-Olayer4,-1052.71283640767,-1812.8332298999999,-760.1203934923299
NiAlO-1,-1119.71201303459,-1216.7957752999998,-97.08376226540986
NiAlO-2,-1119.92574766558,-1216.627116,-96.70136833441984
NiO-1,-1135.80014434459,-1275.6805927999999,-139.8804484554098
NiO-2,-1135.24450755107,-1275.6928541999998,-140.44834664892983
NiO-Slab,-391.474727306659,827.4314026000001,1218.906129906659
NiO-Slab-O,-410.465704102207,-1104.5589989,-694.0932947977931
NiO-Slab-O2,-394.667659337582,-1038.2675565,-643.599897162418
O,0.0,0.0467325,0.0467325
O2,0.0,-8.4076446,-8.4076446
O2-short,0.0,-4.8738608,-4.8738608
O4-1,0.0,-11.9113871,-11.9113871
O4-2,0.0,16.3956192,16.3956192
O4-3,0.0,-16.8644798,-16.8644798
PureAl,-860.159853183956,-1046.9883554,-186.82850221604406
PureAl2O3,-35.1186110803905,-228.7899971,-193.67138601960949
PureNi,-1136.47390277265,-1270.8401717000002,-134.36626892735012
PureNiAl,-1120.94673690999,-1211.6867949,-90.74005799000997
PureNiO,-406.496937759878,-259.2638409,147.233096859878
SlabAl,-818.448164188577,-992.6326854,-174.18452121142298
SlabAlO-1,-818.089519419671,-1001.0391913999999,-182.94967198032896
SlabAlO-2,-818.269482120694,-1001.8367955,-183.56731337930603
